"order","title","newsdiff_fulllink","link"
76,"Trump Interviews 4 Supreme Court Prospects in Rush to Name Replacement","http://maggiediffs.extr4extr4.com/diff/75/76/https:/www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html","https://www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html"
75,"Trump Interviews 4 Supreme Court Prospects in Rush to Name Replacement","http://maggiediffs.extr4extr4.com/diff/74/75/https:/www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html","https://www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html"
74,"Trump Interviews 4 Supreme Court Prospects in Rush to Name Replacement","http://maggiediffs.extr4extr4.com/diff/73/74/https:/www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html","https://www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html"
73,"Trump Interviews 4 Supreme Court Prospects in Rush to Name Replacement","http://maggiediffs.extr4extr4.com/diff/72/73/https:/www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html","https://www.nytimes.com/2018/07/02/us/politics/trump-supreme-court-nomination.html"
71,"Inside the White House's Quiet Campaign to Create a Supreme Court Opening","http://maggiediffs.extr4extr4.com/diff/70/71/https:/www.nytimes.com/2018/06/28/us/politics/trump-anthony-kennedy-retirement.html","https://www.nytimes.com/2018/06/28/us/politics/trump-anthony-kennedy-retirement.html"
70,"Inside the White House's Quiet Campaign to Create a Supreme Court Opening","http://maggiediffs.extr4extr4.com/diff/69/70/https:/www.nytimes.com/2018/06/28/us/politics/trump-anthony-kennedy-retirement.html","https://www.nytimes.com/2018/06/28/us/politics/trump-anthony-kennedy-retirement.html"
68,"Ex-Aide to Roger Stone Is Subpoenaed in Russia Investigation","http://maggiediffs.extr4extr4.com/diff/67/68/https:/www.nytimes.com/2018/06/28/us/politics/roger-stone-andrew-miller-subpoenaed-trump.html","https://www.nytimes.com/2018/06/28/us/politics/roger-stone-andrew-miller-subpoenaed-trump.html"
67,"Ex-Aide to Roger Stone Is Subpoenaed in Russia Investigation","http://maggiediffs.extr4extr4.com/diff/66/67/https:/www.nytimes.com/2018/06/28/us/politics/roger-stone-andrew-miller-subpoenaed-trump.html","https://www.nytimes.com/2018/06/28/us/politics/roger-stone-andrew-miller-subpoenaed-trump.html"
65,"Bill Shine Likely as Next White House Communications Director","http://maggiediffs.extr4extr4.com/diff/64/65/https:/www.nytimes.com/2018/06/27/us/politics/bill-shine-white-house-trump.html","https://www.nytimes.com/2018/06/27/us/politics/bill-shine-white-house-trump.html"
63,"Trump May Soften Sweeping Plan to Restrict Chinese Investments","http://maggiediffs.extr4extr4.com/diff/62/63/https:/www.nytimes.com/2018/06/26/us/politics/trump-cfius-chinese-investment.html","https://www.nytimes.com/2018/06/26/us/politics/trump-cfius-chinese-investment.html"
62,"Trump May Soften Sweeping Plan to Restrict Chinese Investments","http://maggiediffs.extr4extr4.com/diff/61/62/https:/www.nytimes.com/2018/06/26/us/politics/trump-cfius-chinese-investment.html","https://www.nytimes.com/2018/06/26/us/politics/trump-cfius-chinese-investment.html"
